"Shared Resources";"IP Address";"MAC Address";"Response Time";"Host Name";
"";"192.168.8.23";"00-0C-29-88-A1-E8";"0 ms";"";
"";"192.168.8.5";"00-0C-29-BC-A9-51";"1 ms";"SERVWINDOWS2";
"";"192.168.8.170";"24-5E-BE-4B-E2-B6";"0 ms";"NASQNAPBACKUP";
"";"192.168.8.151";"40-8D-5C-B3-B6-D9";"0 ms";"Stock10.iesalisal.es";
"";"192.168.8.1";"4C-5E-0C-75-5B-08";"0 ms";"";
"";"192.168.8.3";"50-C7-BF-7B-E3-AA";"1 ms";"";
"";"192.168.8.28";"5C-6F-69-6B-78-F1";"0 ms";"";
"";"192.168.8.19";"74-83-C2-B6-46-2F";"0 ms";"";
"";"192.168.8.9";"78-8A-20-D3-B3-F6";"0 ms";"";
"";"192.168.8.190";"84-1B-77-2F-E7-ED";"4 ms";"AM5PORT13";
"";"192.168.8.198";"84-1B-77-2F-EE-19";"226 ms";"AM5PORT11";
"";"192.168.8.203";"84-1B-77-30-78-25";"225 ms";"AM5PORT04";
"";"192.168.8.217";"84-1B-77-30-89-A5";"192 ms";"AM5PORT20";
"";"192.168.8.181";"84-1B-77-30-D2-CA";"0 ms";"AM5PORT01";
"";"192.168.8.194";"84-1B-77-31-61-36";"91 ms";"AM5PORT08";
"";"192.168.8.197";"84-1B-77-32-C9-18";"225 ms";"AM5PORT10";
"";"192.168.8.201";"84-1B-77-35-4F-E4";"225 ms";"AM5PORT02";
"";"192.168.8.173";"A4-50-46-6E-07-77";"475 ms";"";
"";"192.168.8.4";"E0-63-DA-C0-A3-99";"12 ms";"";
"";"192.168.8.6";"F0-9F-C2-3C-0C-7D";"0 ms";"";
"";"192.168.8.8";"F0-9F-C2-3C-0D-01";"0 ms";"";
"";"192.168.8.7";"F0-9F-C2-3C-0D-C5";"0 ms";"";
"";"192.168.8.16";"F0-9F-C2-F6-39-AB";"0 ms";"";
"";"192.168.8.17";"F0-9F-C2-F6-3A-2C";"0 ms";"";
"";"192.168.8.15";"F0-9F-C2-F6-3A-95";"6 ms";"";
"";"192.168.8.18";"F0-9F-C2-F6-3B-52";"0 ms";"";
"";"192.168.8.10";"F0-9F-C2-F9-54-E1";"0 ms";"";
"";"192.168.8.11";"F0-9F-C2-F9-56-F9";"0 ms";"";
"";"192.168.8.12";"F0-9F-C2-FC-39-1A";"0 ms";"";
"";"192.168.8.14";"F0-9F-C2-FC-39-1B";"0 ms";"";
"";"192.168.8.13";"F0-9F-C2-FC-3A-95";"0 ms";"";
"";"192.168.8.29";"F4-EE-08-0F-97-5D";"1 ms";"";
